"Sex","Length_mm","Diameter_mm","Height_mm","Whole_weight_g","Shuck_weight_g","Viscera_weight_g","Shell_weight_g","Rings"
"M",0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185,9
"I",0.39,0.29,0.1,0.2225,0.095,0.0465,0.073,7
"M",0.37,0.29,0.09,0.241,0.11,0.045,0.069,10
"F",0.65,0.505,0.175,1.2075,0.5105,0.262,0.39,10
"F",0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,9
"I",0.4,0.315,0.1,0.3225,0.143,0.0735,0.091,6
"M",0.505,0.39,0.105,0.6555,0.2595,0.18,0.19,11
"F",0.525,0.415,0.15,0.7055,0.329,0.147,0.199,10
"F",0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,13
"M",0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,10
"F",0.595,0.48,0.15,1.11,0.498,0.228,0.33,10
"M",0.51,0.39,0.125,0.6565,0.262,0.1835,0.175,10
"F",0.72,0.565,0.17,1.613,0.723,0.3255,0.4945,12
"I",0.53,0.42,0.13,0.8365,0.3745,0.167,0.249,11
"F",0.665,0.53,0.185,1.3955,0.456,0.3205,0.49,15
"F",0.565,0.44,0.135,0.83,0.393,0.1735,0.238,9
"M",0.535,0.405,0.175,1.2705,0.548,0.3265,0.337,13
"M",0.55,0.42,0.145,0.7385,0.321,0.1485,0.252,11
"I",0.5,0.4,0.12,0.616,0.261,0.143,0.1935,8
"M",0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,13
"I",0.41,0.33,0.105,0.335,0.1525,0.074,0.11,7
"M",0.655,0.52,0.165,1.4095,0.586,0.291,0.405,9
"M",0.725,0.55,0.2,1.51,0.8735,0.4265,0.5085,9
"F",0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,5
"M",0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,12
"I",0.54,0.43,0.14,0.8195,0.3935,0.1725,0.2295,9
"F",0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8
"I",0.515,0.35,0.105,0.4745,0.213,0.123,0.1275,10
"M",0.545,0.43,0.155,0.8035,0.409,0.144,0.228,7
"F",0.67,0.53,0.225,1.5615,0.63,0.487,0.3725,11
"I",0.35,0.25,0.07,0.1605,0.0715,0.0335,0.046,6
"I",0.355,0.26,0.09,0.1925,0.077,0.038,0.065,8
"I",0.405,0.31,0.09,0.312,0.138,0.06,0.087,8
"I",0.485,0.375,0.14,0.521,0.2,0.123,0.17,8
"M",0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235,13
"I",0.56,0.435,0.135,0.72,0.329,0.103,0.251,11
"F",0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,15
"M",0.565,0.435,0.185,0.9815,0.329,0.136,0.39,13
"M",0.61,0.485,0.17,1.281,0.597,0.3035,0.33,9
"F",0.635,0.49,0.175,1.2435,0.5805,0.313,0.305,10
"M",0.605,0.475,0.16,1.616,0.5495,0.332,0.34,18
"F",0.605,0.48,0.15,1.079,0.4505,0.2835,0.293,10
"M",0.635,0.51,0.155,1.156,0.428,0.289,0.315,18
"F",0.5,0.395,0.15,0.7145,0.3235,0.173,0.195,9
"F",0.49,0.37,0.14,0.585,0.243,0.115,0.195,10
"F",0.645,0.52,0.19,1.3105,0.58,0.288,0.37,12
"M",0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9
"M",0.675,0.515,0.15,1.312,0.556,0.2845,0.4115,11
"I",0.47,0.375,0.125,0.5225,0.2265,0.104,0.162,8
"F",0.72,0.565,0.18,1.719,0.8465,0.407,0.3875,11
"F",0.675,0.51,0.185,1.473,0.6295,0.3025,0.4245,11
"I",0.53,0.405,0.13,0.6615,0.2945,0.1395,0.19,9
"M",0.635,0.495,0.195,1.172,0.445,0.3115,0.3475,11
"F",0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,8
"F",0.565,0.505,0.21,1.2765,0.501,0.279,0.355,12
"M",0.57,0.44,0.095,0.827,0.3395,0.2215,0.235,8
"F",0.535,0.41,0.13,0.7145,0.335,0.144,0.2075,9
"F",0.56,0.425,0.125,0.932,0.361,0.213,0.335,9
"I",0.4,0.305,0.1,0.3415,0.176,0.0625,0.0865,7
"F",0.61,0.485,0.18,1.2795,0.5735,0.2855,0.355,7
"I",0.525,0.4,0.14,0.6055,0.2605,0.108,0.21,9
"M",0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10
"M",0.565,0.415,0.125,0.667,0.302,0.1545,0.185,7
"M",0.61,0.48,0.17,1.137,0.4565,0.29,0.347,10
"F",0.615,0.475,0.17,1.055,0.543,0.246,0.2345,9
"I",0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,7
"M",0.665,0.515,0.2,1.2695,0.5115,0.2675,0.436,12
"F",0.7,0.54,0.215,1.978,0.6675,0.3125,0.71,24
"F",0.525,0.42,0.16,0.756,0.2745,0.173,0.275,9
"M",0.66,0.515,0.2,1.6465,0.749,0.422,0.401,11
"M",0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,10
"I",0.5,0.385,0.11,0.596,0.3015,0.104,0.151,8
"F",0.725,0.6,0.2,1.737,0.697,0.3585,0.595,11
"F",0.615,0.475,0.155,1.004,0.4475,0.193,0.2895,10
"F",0.64,0.485,0.185,1.4195,0.6735,0.3465,0.3255,11
"M",0.545,0.41,0.14,0.737,0.349,0.15,0.212,9
"I",0.475,0.355,0.125,0.4865,0.2155,0.1105,0.142,9
"I",0.53,0.4,0.145,0.555,0.1935,0.1305,0.195,9
"F",0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6
"F",0.475,0.4,0.115,0.541,0.186,0.1025,0.21,13
"M",0.515,0.35,0.155,0.9225,0.4185,0.198,0.273,9
"I",0.6,0.445,0.135,0.9205,0.445,0.2035,0.253,9
"F",0.575,0.465,0.195,0.9965,0.417,0.247,0.47,8
"M",0.57,0.435,0.17,0.873,0.382,0.183,0.2705,10
"F",0.55,0.43,0.15,0.655,0.2635,0.122,0.221,8
"I",0.415,0.32,0.11,0.3735,0.175,0.0755,0.109,7
"F",0.58,0.45,0.15,0.92,0.393,0.212,0.2895,9
"F",0.605,0.485,0.165,1.0105,0.435,0.209,0.3,19
"M",0.595,0.455,0.15,1.044,0.518,0.2205,0.27,9
"I",0.495,0.39,0.125,0.6655,0.284,0.162,0.2,11
"M",0.535,0.435,0.14,0.874,0.3735,0.229,0.2195,8
"M",0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17
"F",0.705,0.56,0.205,2.381,0.9915,0.5005,0.624,10
"F",0.6,0.475,0.17,1.088,0.4905,0.2475,0.31,10
"F",0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,7
"F",0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7
"I",0.505,0.4,0.145,0.7045,0.334,0.1425,0.207,8
"I",0.61,0.465,0.125,0.9225,0.436,0.19,0.26,9
"F",0.45,0.325,0.135,0.438,0.1805,0.1165,0.11,9
"M",0.425,0.325,0.12,0.3755,0.142,0.1065,0.105,9
"M",0.59,0.47,0.15,0.861,0.413,0.164,0.249,8
"I",0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855,8
"I",0.5,0.38,0.125,0.519,0.2485,0.1135,0.134,8
"F",0.58,0.425,0.155,0.873,0.3615,0.249,0.239,10
"M",0.525,0.425,0.125,0.812,0.4035,0.1705,0.195,8
"F",0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,10
"M",0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,3
"F",0.635,0.505,0.155,1.2895,0.594,0.314,0.345,11
"M",0.53,0.425,0.13,0.702,0.2975,0.1395,0.22,9
"F",0.465,0.38,0.135,0.579,0.208,0.1095,0.22,14
"I",0.385,0.285,0.09,0.248,0.0935,0.066,0.07,6
"I",0.32,0.215,0.095,0.305,0.14,0.067,0.0885,6
"I",0.455,0.335,0.135,0.501,0.274,0.0995,0.1065,7
"M",0.72,0.57,0.2,1.8275,0.919,0.366,0.485,10
"F",0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13
"F",0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10
"M",0.575,0.45,0.165,0.9655,0.498,0.19,0.23,8
"F",0.63,0.5,0.155,1.005,0.367,0.199,0.36,16
"M",0.65,0.525,0.19,1.6125,0.777,0.3685,0.3965,11
"F",0.6,0.46,0.15,1.235,0.6025,0.274,0.29,8
"I",0.275,0.2,0.07,0.096,0.037,0.0225,0.03,6
"I",0.435,0.325,0.12,0.346,0.159,0.084,0.095,7
"F",0.66,0.535,0.205,1.4415,0.5925,0.2775,0.49,10
"M",0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105,12
"F",0.625,0.515,0.155,1.1635,0.4875,0.259,0.355,11
"I",0.42,0.325,0.1,0.368,0.1675,0.0625,0.1135,11
"I",0.55,0.42,0.115,0.668,0.2925,0.137,0.209,11
"M",0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,8
"I",0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7
"I",0.5,0.395,0.12,0.537,0.2165,0.1085,0.1785,9
"M",0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11
"M",0.56,0.44,0.14,0.971,0.443,0.2045,0.265,14
"M",0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11
"M",0.61,0.48,0.15,1.1495,0.564,0.274,0.264,8
"I",0.485,0.37,0.14,0.5065,0.2425,0.088,0.1465,8
"M",0.31,0.235,0.06,0.12,0.0415,0.033,0.04,11
"F",0.635,0.51,0.175,1.2125,0.5735,0.261,0.36,14
"M",0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,8
"M",0.485,0.39,0.12,0.599,0.251,0.1345,0.169,8
"I",0.445,0.32,0.12,0.378,0.152,0.0825,0.12,8
"I",0.525,0.4,0.13,0.6445,0.345,0.1285,0.2,8
"M",0.26,0.19,0.075,0.0945,0.0445,0.02,0.03,6
"M",0.505,0.41,0.125,0.642,0.289,0.133,0.155,9
"F",0.675,0.57,0.225,1.587,0.739,0.2995,0.435,10
"F",0.63,0.48,0.165,1.2615,0.5505,0.277,0.3885,10
"I",0.185,0.135,0.04,0.027,0.0105,0.0055,0.009,5
"M",0.415,0.325,0.14,0.417,0.1535,0.1015,0.144,10
"I",0.255,0.185,0.065,0.074,0.0305,0.0165,0.02,4
"F",0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,13
"I",0.47,0.355,0.145,0.4485,0.156,0.102,0.123,7
"F",0.59,0.455,0.165,1.161,0.38,0.2455,0.28,12
"M",0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165,10
"I",0.56,0.455,0.145,0.974,0.547,0.1615,0.235,9
"M",0.73,0.575,0.21,2.069,0.9285,0.409,0.643,11
"M",0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
"F",0.48,0.375,0.105,0.525,0.2185,0.1195,0.155,12
"M",0.595,0.47,0.15,0.8915,0.359,0.2105,0.245,12
"M",0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,8
"I",0.525,0.395,0.12,0.608,0.297,0.1395,0.1405,8
"M",0.57,0.435,0.13,0.7535,0.349,0.1755,0.194,10
"M",0.58,0.455,0.15,1.114,0.4765,0.2155,0.265,8
"F",0.66,0.5,0.155,1.3765,0.6485,0.288,0.335,12
"M",0.55,0.42,0.16,1.3405,0.6325,0.311,0.344,10
"M",0.67,0.515,0.165,1.1735,0.526,0.285,0.316,11
"I",0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,6
"M",0.6,0.48,0.165,0.9165,0.4135,0.1965,0.2725,9
"M",0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,15
"M",0.585,0.475,0.15,1.065,0.5315,0.199,0.2885,10
"I",0.56,0.43,0.13,0.728,0.3355,0.1435,0.2175,8
"M",0.6,0.48,0.155,1.014,0.451,0.1885,0.325,11
"M",0.59,0.48,0.16,1.262,0.5685,0.2725,0.335,9
"I",0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,17
"I",0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,4
"I",0.465,0.345,0.11,0.393,0.1825,0.0735,0.12,8
"M",0.69,0.525,0.2,1.7825,0.9165,0.3325,0.461,12
"F",0.625,0.5,0.175,1.273,0.564,0.302,0.374,9
"I",0.505,0.385,0.12,0.6005,0.239,0.142,0.185,7
"M",0.67,0.525,0.17,1.4005,0.715,0.3025,0.387,9
"M",0.35,0.255,0.085,0.2145,0.1,0.0465,0.06,13
"M",0.58,0.45,0.16,0.8675,0.3935,0.221,0.215,9
"F",0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885,9
"F",0.61,0.47,0.145,1.153,0.403,0.296,0.32,14
"I",0.45,0.35,0.11,0.514,0.253,0.1045,0.14,8
"F",0.645,0.5,0.15,1.159,0.4675,0.3355,0.31,9
"M",0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,10
"M",0.62,0.505,0.185,1.5275,0.69,0.368,0.35,13
"I",0.495,0.33,0.1,0.44,0.177,0.095,0.15,7
"M",0.52,0.465,0.15,0.9505,0.456,0.199,0.255,8
"I",0.535,0.4,0.145,0.705,0.3065,0.1365,0.22,10
"I",0.32,0.235,0.08,0.1485,0.064,0.031,0.045,6
"F",0.58,0.445,0.135,0.95,0.484,0.182,0.2325,8
"I",0.385,0.3,0.09,0.308,0.1525,0.056,0.0835,8
"M",0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,9
"M",0.65,0.495,0.16,1.2075,0.55,0.2695,0.32,10
"F",0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,8
"M",0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,19
"M",0.5,0.415,0.165,0.6885,0.249,0.138,0.25,13
"F",0.48,0.38,0.145,0.59,0.232,0.141,0.23,12
"I",0.46,0.36,0.105,0.466,0.2225,0.099,0.11,7
"I",0.44,0.34,0.1,0.379,0.1725,0.0815,0.101,7
"I",0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5
"M",0.615,0.51,0.15,1.296,0.545,0.3315,0.32,9
"M",0.465,0.36,0.11,0.4955,0.2665,0.085,0.121,7
"I",0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,6
"I",0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2
"I",0.49,0.37,0.11,0.538,0.271,0.1035,0.139,8
"F",0.57,0.45,0.165,0.903,0.3305,0.1845,0.295,14
"F",0.49,0.38,0.145,0.6725,0.249,0.181,0.21,10
"F",0.63,0.495,0.165,1.3075,0.599,0.284,0.315,11
"F",0.625,0.485,0.16,1.254,0.591,0.259,0.3485,9
"I",0.35,0.26,0.095,0.221,0.0985,0.043,0.07,8
"M",0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8
"I",0.495,0.375,0.115,0.507,0.241,0.103,0.15,8
"I",0.52,0.41,0.14,0.699,0.3395,0.129,0.1945,10
"F",0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,19
"I",0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5
"I",0.475,0.385,0.11,0.5735,0.311,0.1025,0.136,7
"M",0.58,0.45,0.155,0.8275,0.321,0.1975,0.2445,8
"F",0.68,0.55,0.19,1.807,0.8225,0.3655,0.515,11
"M",0.61,0.49,0.16,1.146,0.597,0.246,0.265,8
"M",0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,10
"F",0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10
"I",0.475,0.36,0.11,0.492,0.211,0.11,0.15,8
"M",0.505,0.395,0.135,0.5915,0.288,0.1315,0.185,12
"F",0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225,10
"I",0.51,0.455,0.135,0.6855,0.2875,0.154,0.2035,9
"I",0.375,0.29,0.095,0.2875,0.123,0.0605,0.08,6
"F",0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10
"I",0.59,0.46,0.145,0.9015,0.419,0.1785,0.26,11
"M",0.33,0.235,0.09,0.163,0.0615,0.034,0.055,10
"M",0.615,0.47,0.165,1.128,0.4465,0.2195,0.34,10
"M",0.325,0.23,0.09,0.147,0.06,0.034,0.045,4
"M",0.57,0.445,0.15,0.9875,0.504,0.207,0.249,8
"M",0.44,0.325,0.115,0.39,0.163,0.087,0.113,7
"I",0.355,0.27,0.075,0.1775,0.079,0.0315,0.054,6
"I",0.355,0.255,0.08,0.187,0.078,0.0505,0.058,7
"I",0.34,0.245,0.085,0.2015,0.1005,0.038,0.053,6
"F",0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9
"F",0.625,0.485,0.175,1.362,0.6765,0.2615,0.3705,10
"M",0.525,0.365,0.17,0.9605,0.438,0.2225,0.276,10
"F",0.75,0.57,0.21,2.236,1.109,0.5195,0.545,11
"F",0.62,0.48,0.23,1.0935,0.403,0.245,0.355,14
"F",0.625,0.475,0.16,1.3335,0.605,0.2875,0.319,10
"I",0.515,0.4,0.12,0.659,0.2705,0.179,0.17,13
"M",0.575,0.455,0.165,0.867,0.3765,0.1805,0.268,8
"M",0.625,0.5,0.18,1.3705,0.645,0.303,0.3705,12
"I",0.62,0.45,0.135,0.924,0.358,0.2265,0.2965,10
"I",0.43,0.315,0.115,0.384,0.1885,0.0715,0.11,8
"I",0.5,0.385,0.12,0.516,0.197,0.1305,0.165,8
"F",0.67,0.51,0.155,1.278,0.5605,0.3045,0.358,11
"I",0.595,0.43,0.165,0.9845,0.4525,0.207,0.2725,8
"I",0.55,0.45,0.14,0.753,0.3445,0.1325,0.24,8
"I",0.47,0.375,0.12,0.487,0.196,0.099,0.135,8
"F",0.72,0.595,0.225,1.969,0.8045,0.423,0.66,16
"M",0.575,0.455,0.155,1.013,0.4685,0.2085,0.295,11
"F",0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,18
"M",0.515,0.39,0.155,0.7125,0.3695,0.137,0.155,7
"M",0.68,0.545,0.185,1.672,0.7075,0.364,0.48,11
"M",0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,6
"F",0.47,0.35,0.115,0.487,0.1955,0.127,0.155,8
"M",0.46,0.345,0.12,0.4935,0.2435,0.1175,0.132,8
"I",0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8
"I",0.45,0.34,0.12,0.4925,0.241,0.1075,0.12,6
"F",0.755,0.575,0.2,2.073,1.0135,0.4655,0.48,11
"I",0.505,0.385,0.125,0.596,0.245,0.097,0.21,9
"I",0.445,0.33,0.12,0.347,0.12,0.084,0.105,11
"F",0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12
"M",0.64,0.505,0.18,1.297,0.59,0.3125,0.363,11
"I",0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,13
"F",0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,10
"I",0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8
"M",0.58,0.45,0.175,1.068,0.425,0.203,0.32,13
"F",0.605,0.485,0.16,1.201,0.417,0.2875,0.38,9
"I",0.65,0.525,0.18,1.626,0.597,0.3445,0.53,18
"F",0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,9
"F",0.51,0.39,0.105,0.612,0.187,0.15,0.195,13
"M",0.6,0.47,0.13,1.0105,0.423,0.219,0.298,9
"M",0.315,0.25,0.09,0.203,0.0615,0.037,0.0795,11
"M",0.515,0.385,0.11,0.5785,0.253,0.16,0.14,8
"F",0.67,0.515,0.17,1.4265,0.6605,0.3395,0.37,11
"F",0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9
"I",0.42,0.32,0.115,0.409,0.2055,0.0935,0.105,8
"M",0.52,0.395,0.125,0.5815,0.2565,0.1265,0.17,10
"I",0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,9
"F",0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12
"F",0.375,0.29,0.115,0.2705,0.093,0.066,0.0885,10
"I",0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765,5
"M",0.63,0.49,0.15,1.1955,0.5845,0.257,0.3,9
"F",0.275,0.195,0.07,0.08,0.031,0.0215,0.025,5
"F",0.595,0.475,0.16,1.1405,0.547,0.231,0.271,6
"F",0.64,0.51,0.165,1.486,0.7595,0.332,0.321,8
"I",0.68,0.53,0.185,1.1095,0.439,0.245,0.34,10
"I",0.295,0.22,0.065,0.1295,0.052,0.028,0.035,6
"I",0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,8
"M",0.665,0.525,0.18,1.429,0.6715,0.29,0.4,12
"M",0.49,0.38,0.11,0.554,0.2935,0.1005,0.15,8
"M",0.545,0.425,0.135,0.8445,0.373,0.21,0.235,10
"F",0.585,0.465,0.17,0.9915,0.3865,0.224,0.265,12
"M",0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12
"I",0.42,0.325,0.11,0.325,0.1245,0.0755,0.1025,7
"M",0.63,0.48,0.165,1.286,0.604,0.271,0.35,8
"F",0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,10
"M",0.575,0.475,0.145,0.857,0.3665,0.173,0.269,9
"F",0.545,0.415,0.2,1.358,0.567,0.318,0.403,10
"I",0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,6
"I",0.17,0.105,0.035,0.034,0.012,0.0085,0.005,4
"F",0.435,0.325,0.115,0.3915,0.154,0.094,0.12,7
"F",0.645,0.5,0.18,1.2785,0.5345,0.2995,0.345,13
"M",0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,6
"I",0.385,0.29,0.09,0.2365,0.1,0.0505,0.076,8
"M",0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,11
"M",0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16,9
"I",0.455,0.375,0.125,0.533,0.233,0.106,0.185,8
"M",0.595,0.475,0.14,1.0305,0.4925,0.217,0.278,10
"M",0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,11
"M",0.58,0.44,0.15,1.0465,0.518,0.2185,0.2795,10
"I",0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,5
"M",0.61,0.475,0.17,1.0265,0.435,0.2335,0.3035,10
"F",0.65,0.5,0.17,1.4045,0.694,0.318,0.3235,11
"F",0.505,0.375,0.115,0.5895,0.2635,0.12,0.167,10
"I",0.44,0.355,0.12,0.495,0.231,0.11,0.125,7
"M",0.735,0.585,0.185,2.124,0.952,0.55,0.5,11
"I",0.455,0.36,0.115,0.457,0.2085,0.0855,0.147,10
"I",0.335,0.25,0.095,0.185,0.0795,0.0495,0.055,8
"F",0.63,0.5,0.16,1.22,0.4905,0.3,0.345,14
"F",0.595,0.46,0.155,1.0455,0.4565,0.24,0.3085,10
"F",0.63,0.495,0.19,1.1655,0.536,0.2115,0.1625,10
"I",0.375,0.285,0.09,0.237,0.106,0.0395,0.08,8
"M",0.65,0.495,0.16,1.304,0.57,0.312,0.3725,9
"M",0.615,0.455,0.15,0.9335,0.382,0.247,0.2615,10
"M",0.67,0.52,0.175,1.4755,0.6275,0.379,0.374,10
"M",0.56,0.415,0.145,0.852,0.43,0.1885,0.205,8
"I",0.305,0.225,0.09,0.1465,0.063,0.034,0.0415,6
"F",0.55,0.425,0.14,0.952,0.4895,0.1945,0.2185,7
"I",0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,6
"M",0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,10
"I",0.635,0.5,0.165,1.489,0.715,0.3445,0.3615,13
"F",0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835,10
"M",0.6,0.48,0.175,1.229,0.4125,0.2735,0.415,13
"I",0.47,0.355,0.12,0.4915,0.1765,0.1125,0.1325,9
"F",0.675,0.54,0.21,1.593,0.686,0.318,0.45,11
"M",0.54,0.415,0.145,0.74,0.2635,0.168,0.245,12
"F",0.62,0.49,0.16,1.056,0.493,0.244,0.2725,9
"F",0.55,0.43,0.14,0.84,0.375,0.218,0.1945,8
"F",0.585,0.45,0.16,0.9045,0.405,0.2215,0.2335,8
"F",0.675,0.535,0.22,1.604,0.6175,0.4255,0.453,14
"I",0.585,0.45,0.15,0.8915,0.3975,0.2035,0.253,8
"F",0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,16
"M",0.675,0.545,0.185,1.7375,0.876,0.3135,0.469,13
"M",0.585,0.465,0.165,0.885,0.4025,0.1625,0.274,10
"I",0.515,0.42,0.15,0.6725,0.2555,0.1335,0.235,10
"I",0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8
"M",0.64,0.485,0.16,1.006,0.456,0.2245,0.2835,9
"I",0.39,0.31,0.085,0.344,0.181,0.0695,0.079,7
"I",0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8
"I",0.435,0.33,0.11,0.413,0.2055,0.096,0.096,6
"F",0.69,0.54,0.185,1.5715,0.6935,0.318,0.47,15
"M",0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,23
"F",0.475,0.35,0.115,0.487,0.194,0.1455,0.125,13
"M",0.605,0.475,0.15,1.15,0.575,0.232,0.297,10
"F",0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,20
"I",0.47,0.355,0.12,0.393,0.167,0.0885,0.115,8
"F",0.61,0.47,0.16,1.017,0.426,0.2255,0.32,12
"I",0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,4
"I",0.46,0.335,0.11,0.444,0.225,0.0745,0.11,8
"M",0.55,0.405,0.15,0.9235,0.412,0.2135,0.24,7
"M",0.59,0.5,0.2,1.187,0.412,0.2705,0.37,16
"F",0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525,9
"M",0.565,0.43,0.13,0.784,0.3495,0.1885,0.213,9
"F",0.375,0.27,0.135,0.597,0.272,0.131,0.1675,7
"M",0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,8
"M",0.68,0.53,0.205,1.496,0.5825,0.337,0.465,14
"I",0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775,7
"M",0.635,0.51,0.17,1.3555,0.619,0.305,0.39,9
"M",0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239,8
"I",0.53,0.43,0.135,0.6255,0.245,0.1455,0.2135,10
"F",0.46,0.365,0.125,0.4785,0.206,0.1045,0.141,8
"F",0.62,0.51,0.175,1.1255,0.4985,0.227,0.315,14
"M",0.49,0.39,0.15,0.573,0.225,0.124,0.17,21
"I",0.53,0.405,0.12,0.632,0.2715,0.148,0.1875,9
"I",0.57,0.445,0.145,0.7405,0.306,0.172,0.1825,12
"I",0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7
"M",0.55,0.45,0.175,1.0985,0.3765,0.215,0.4,14
"F",0.705,0.53,0.17,1.564,0.612,0.394,0.44,10
"M",0.65,0.525,0.175,1.4715,0.675,0.315,0.399,11
"I",0.37,0.29,0.095,0.249,0.1045,0.058,0.067,6
"I",0.45,0.34,0.125,0.4045,0.171,0.07,0.1345,8
"F",0.47,0.375,0.105,0.513,0.232,0.142,0.13,11
"F",0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,18
"I",0.515,0.405,0.13,0.573,0.213,0.134,0.195,9
"F",0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,12
"M",0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117,8
"M",0.6,0.475,0.16,1.164,0.5045,0.2635,0.335,12
"F",0.6,0.465,0.16,1.133,0.466,0.2885,0.298,11
"I",0.595,0.475,0.155,0.984,0.4865,0.184,0.2755,10
"I",0.555,0.43,0.155,0.7395,0.3135,0.1435,0.28,10
"M",0.4,0.305,0.13,0.2935,0.096,0.0675,0.105,9
"F",0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,9
"I",0.57,0.45,0.145,0.751,0.2825,0.2195,0.2215,10
"F",0.66,0.53,0.17,1.326,0.519,0.2625,0.44,13
