height,herbivores,Area_cm2
low,minus,88.4648
low,minus,1188.0248
low,minus,2178.4142
low,minus,276.9608001
low,minus,594.2624
low,minus,1470.7688
low,minus,1140.9008
low,minus,3732.720801
low,minus,1257.14
low,minus,2132.0756
low,minus,1253.9984
low,minus,627.2491999
low,minus,0.5
low,minus,1689.11
low,minus,1307.4056
low,minus,1746.4442
low,plus,143.4428
low,plus,209.4163999
low,plus,0.5
low,plus,64.1174
low,plus,0.5
low,plus,0.5
low,plus,763.9087998
low,plus,1847.7608
low,plus,9.924799999
low,plus,69.61519999
low,plus,0.5
low,plus,16.9934
low,plus,0.5
low,plus,1294.0538
low,plus,12.281
low,plus,7.568599998
mid,minus,0.5
mid,minus,622.5368002
mid,minus,2168.204
mid,minus,0.5
mid,minus,26.4182
mid,minus,38.1992
mid,minus,2204.3324
mid,minus,524.3617998
mid,minus,377.4919999
mid,minus,1378.877
mid,minus,201.5623999
mid,minus,9.924799999
mid,minus,467.0275999
mid,minus,276.9608001
mid,minus,2073.956
mid,minus,2297.795
mid,plus,0.5
mid,plus,1037.228
mid,plus,1230.4364
mid,plus,307.5914001
mid,plus,38.9846
mid,plus,170.1464001
mid,plus,657.0944001
mid,plus,1332.5384
mid,plus,1407.9368
mid,plus,2095.9472
mid,plus,401.0539998
mid,plus,99.46039999
mid,plus,7.568599998
mid,plus,1610.57
mid,plus,1665.548
mid,plus,2012.6948